Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
amatenango-blouse,,,,,,,,,Style #2,,,,,AB002,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/2_ff755dd1-51f5-42e9-9df0-4c757b1e9118.png?v=1664838643,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/3_2d2d6924-7c6f-4ed6-841d-5269a7e914b6.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #3,,,,,AB003,0.0,shopify,0,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/3_2d2d6924-7c6f-4ed6-841d-5269a7e914b6.png?v=1664838643,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/5_d6f7b4d6-7c80-4e43-9ac3-430969750de6.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #4,,,,,AB004,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/4_447fbc7a-0adc-4dcd-837b-6c719dbc9119.png?v=1664838643,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/7_d58888a8-37de-4185-ba2e-b2f6097af480.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #5,,,,,AB005,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/5_d6f7b4d6-7c80-4e43-9ac3-430969750de6.png?v=1664838643,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/9_9fd98579-b686-4e97-8f70-151fea73a18a.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #6,,,,,AB006,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/6_2a9aa17d-d0f3-47cc-8d0a-eddfd518c67d.png?v=1664838643,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/11_2973ba1e-75fa-4ffe-bcd7-b2fbe2551cca.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #7,,,,,AB007,0.0,shopify,0,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/7_d58888a8-37de-4185-ba2e-b2f6097af480.png?v=1664838643,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/13_214db239-f5d0-4262-ac33-07e6ee855371.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #8,,,,,AB008,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/8_e32aa93d-1490-4bcc-bb1b-49538fca92c4.png?v=1664838643,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/15_d21a2627-8511-4f2d-8b20-511ca14a78dd.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #9,,,,,AB009,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/9_9fd98579-b686-4e97-8f70-151fea73a18a.png?v=1664838643,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/17_f7d09fcf-68eb-48b4-8cb6-0a05a20bb2a8.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #10,,,,,AB0010,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/10_abd0d377-dc2c-419a-be6a-e44145434e85.png?v=1664838643,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/19_f6e9b3b2-476b-4fde-a300-7dcf472a04cf.png?v=1664838643,kg,,,,,
amatenango-blouse,,,,,,,,,Style #11,,,,,AB0011,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/11_2973ba1e-75fa-4ffe-bcd7-b2fbe2551cca.png?v=1664838643,11,,,,,,,,,,,,,,,,,,,kg,,,,,
